client_code,recomend_product,push_notification
1,Карта для путешествий,"Здравствуйте, Айгерим! Путешествуйте с выгодой. Получайте кешбэк на поездки и такси. Удобно, быстро и выгодно. Оформить карту!"
2,Депозит мультивалютный,"Здравствуйте, Данияр! Максимизируйте доход с мультивалютным депозитом. Получайте проценты на свои сбережения. Начните инвестировать с умом!"
3,Кредитная карта,"Привет, Сабина! Получи до 10% кешбэк на покупки! Льготный период, рассрочка – всё это для твоих нужд. Получи карту прямо сейчас!"
4,Кредитная карта,"Здравствуйте, Тимур! Получите до 10% кешбэк на покупки! Льготный период и рассрочка на любимые товары. Оформить карту сейчас!"
5,Депозит мультивалютный,"Здравствуйте, Камилла! Зарабатывайте на своих сбережениях с мультивалютным депозитом. Проценты и защита от валютных колебаний. Начните зарабатывать!"
6,Кредитная карта,"Здравствуйте, Аян! Получите до 10% кешбэк на покупки. Льготный период и удобная рассрочка. Оформите карту сегодня!"
7,Депозит мультивалютный,"Здравствуйте, Руслан! Получайте проценты с мультивалютного депозита. Защитите свои сбережения от валютных рисков. Начните зарабатывать уже сегодня!"
8,Депозит мультивалютный,"Здравствуйте, Мадина! Начните зарабатывать на своих сбережениях с мультивалютным депозитом. Получайте проценты в разных валютах. Начните прямо сейчас!"
9,Депозит сберегательный,"Здравствуйте, Арман! Получите максимальный доход с сберегательного депозита. Высокие ставки на стабильные сбережения. Оформите депозит сегодня!"
10,Депозит сберегательный,"Здравствуйте, Карина! Увеличьте свои сбережения с нашим сберегательным депозитом. Высокие ставки для стабильного дохода. Начните зарабатывать прямо сейчас!"
11,Депозит мультивалютный,"Здравствуйте, Бауржан! Мы знаем, как важен для вас баланс. Откройте мультивалютный депозит и зарабатывайте проценты на ваших валютных сбережениях. Удобство и выгода всегда с вами."
12,Кредитная карта,"Здравствуйте, Жанар! Получите до 10% кешбэка на покупки. Воспользуйтесь льготным периодом и рассрочкой. Мы всегда рядом, чтобы сделать ваши покупки удобными!"
13,Кредитная карта,"Привет, Алина! Хотите больше бонусов и кешбэка? Откройте кредитную карту и наслаждайтесь покупками с льготным периодом! Мы сделаем ваше будущее ярче!"
14,Кредит наличными,"Здравствуйте, Диас! Вам нужны быстрые деньги с гибкими условиями? Оформите кредит наличными на выгодных условиях. Мы всегда готовы помочь вам в нужный момент."
15,Кредитная карта,"Здравствуйте, Нурия! Получайте до 10% кешбэка на любимые покупки. Льготный период и рассрочка — всё для вашего удобства. Начните использовать возможности прямо сейчас!"
16,Кредитная карта,"Привет, Ерасыл! Хотите больше бонусов и кешбэка? Откройте кредитную карту с льготным периодом и рассрочкой. Не упустите шанс на выгодные покупки!"
17,Кредитная карта,"Здравствуйте, Жанель! Наслаждайтесь кешбэком до 10% и выгодными условиями рассрочки. Ваша карта для комфортных покупок уже ждёт вас!"
18,Депозит накопительный,"Здравствуйте, Санжар! Хотите заработать больше на ваших сбережениях? Откройте накопительный депозит с повышенной ставкой и пополняйте без ограничений!"
19,Обмен валют,"Здравствуйте, Азамат! Экономьте на обмене валют с выгодными курсами. Откройте обмен валют и используйте лучший спред. Сделайте обмен проще и выгоднее!"
20,Обмен валют,"Здравствуйте, Анель! Обмен валют никогда не был таким выгодным. Используйте наш сервис с лучшими курсами. Простой и быстрый способ обмена — рядом с вами!"
21,Депозит мультивалютный,"Здравствуйте, Павел! Инвестируйте в мультивалютный депозит и получайте проценты на ваши средства. Храните валюту с выгодой для себя. Начните прямо сейчас."
22,Кредитная карта,"Привет, Аружан! Откройте кредитную карту с до 10% кешбэком! Получите льготный период и выгодные рассрочки на все покупки. Оформите карту уже сегодня!"
